Date,Ozone,Solar,Wind,Temp
1976-07-11,NA,139.0,8.6,82
1976-07-12,10.0,264.0,14.3,73
1976-07-13,27.0,175.0,14.9,81
1976-07-14,NA,291.0,14.9,91
1976-07-15,7.0,48.0,14.3,80
1976-07-16,48.0,260.0,6.9,81
1976-07-17,35.0,274.0,10.3,82
1976-07-18,61.0,285.0,6.3,84
1976-07-19,79.0,187.0,5.1,87
1976-07-20,63.0,220.0,11.5,85
1976-07-21,16.0,7.0,6.9,74
1976-07-22,NA,258.0,9.7,81
1976-07-23,NA,295.0,11.5,82
1976-07-24,80.0,294.0,8.6,86
1976-07-25,108.0,223.0,8.0,85
1976-07-26,20.0,81.0,8.6,82
1976-07-27,52.0,82.0,12.0,86
1976-07-28,82.0,213.0,7.4,88
1976-07-29,50.0,275.0,7.4,86
1976-07-30,64.0,253.0,7.4,83
1976-07-31,59.0,254.0,9.2,81
1976-08-01,39.0,83.0,6.9,81
1976-08-02,9.0,24.0,13.8,81
1976-08-03,16.0,77.0,7.4,82
1976-08-04,78.0,NA,6.9,86
1976-08-05,35.0,NA,7.4,85
1976-08-06,66.0,NA,4.6,87
1976-08-07,122.0,255.0,4.0,89
1976-08-08,89.0,229.0,10.3,90
1976-08-09,110.0,207.0,8.0,90
1976-08-10,NA,222.0,8.6,92
1976-08-11,NA,137.0,11.5,86
1976-08-12,44.0,192.0,11.5,86
1976-08-13,28.0,273.0,11.5,82
1976-08-14,65.0,157.0,9.7,80
1976-08-15,NA,64.0,11.5,79
1976-08-16,22.0,71.0,10.3,77
1976-08-17,59.0,51.0,6.3,79
1976-08-18,23.0,115.0,7.4,76
1976-08-19,31.0,244.0,10.9,78
1976-08-20,44.0,190.0,10.3,78
1976-08-21,21.0,259.0,15.5,77
1976-08-22,9.0,36.0,14.3,72
1976-08-23,NA,255.0,12.6,75
1976-08-24,45.0,212.0,9.7,79
1976-08-25,168.0,238.0,3.4,81
1976-08-26,73.0,215.0,8.0,86
1976-08-27,NA,153.0,5.7,88
1976-08-28,76.0,203.0,9.7,97
1976-08-29,118.0,225.0,2.3,94
1976-08-30,84.0,237.0,6.3,96
1976-08-31,85.0,188.0,6.3,94
1976-09-01,96.0,167.0,6.9,91
1976-09-02,78.0,197.0,5.1,92
1976-09-03,73.0,183.0,2.8,93
1976-09-04,91.0,189.0,4.6,93
1976-09-05,47.0,95.0,7.4,87
1976-09-06,32.0,92.0,15.5,84
1976-09-07,20.0,252.0,10.9,80
1976-09-08,23.0,220.0,10.3,78
1976-09-09,21.0,230.0,10.9,75
1976-09-10,24.0,259.0,9.7,73
1976-09-11,44.0,236.0,14.9,81
1976-09-12,21.0,259.0,15.5,76
1976-09-13,28.0,238.0,6.3,77
1976-09-14,9.0,24.0,10.9,71
1976-09-15,13.0,112.0,11.5,71
1976-09-16,46.0,237.0,6.9,78
1976-09-17,18.0,224.0,13.8,67
1976-09-18,13.0,27.0,10.3,76
1976-09-19,24.0,238.0,10.3,68
1976-09-20,16.0,201.0,8.0,82
1976-09-21,13.0,238.0,12.6,64
1976-09-22,23.0,14.0,9.2,71
1976-09-23,36.0,139.0,10.3,81
1976-09-24,7.0,49.0,10.3,69
1976-09-25,14.0,20.0,16.6,63
1976-09-26,30.0,193.0,6.9,70
1976-09-27,NA,145.0,13.2,77
1976-09-28,14.0,191.0,14.3,75
1976-09-29,18.0,131.0,8.0,76
1976-09-30,20.0,223.0,11.5,68
