model,year,price,transmission,mileage,fuel type,engine size,mileage2,fuel type2,engine size2,reference
 C Class,2016," £14,477",Automatic,"72,000",25,£30,65.7,Diesel,1.6,/ad/25087114
 C Class,2013," £10,977",Automatic,"72,000",38,£145,54.3,Diesel,2.1,/ad/25087119
 C Class,2016," £17,977",Automatic,"40,000",25,£30,64.2,Diesel,1.6,/ad/24935486
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
 C Class,2015," £12,790",Automatic,"52,000",29,n/a,n/a,Diesel,2143,/ad/25070364
 C Class,," £24,495",Automatic,"20,330",38,£115,60.1,Diesel,2.1,/ad/20597531
 C Class,2017," £14,488",Automatic,"66,472",n/a,£30,64.2,Diesel,2.1,/ad/25130927
 C Class,2011," £7,500",Manual,"91,000",34,£125,60.1,Diesel,2.1,/ad/24926194
 C Class,2013," £9,750",Automatic,"69,700",36,£145,53.3,Diesel,2.1,/ad/25038127
 C Class,2015," £15,995",Automatic,"39,000",26,£30,64.2,Diesel,1600,/ad/25025645
 C Class,2016," £15,675",Manual,"39,287",31,£20,68.9,Diesel,2143,/ad/24607517
 C Class,2016," £16,475",Manual,"40,569",31,£20,68.9,Diesel,2143,/ad/25070650
 C Class,2016," £15,975",Manual,"37,419",n/a,£125,51.4,Petrol,1991,/ad/24426557
 C Class,2016," £16,475",Automatic,"34,452",n/a,£30,64.2,Diesel,2143,/ad/25427000
 C Class,2015," £15,975",Automatic,"41,567",n/a,£0,76.4,Hybrid,2143,/ad/23150368
 C Class,2015," £16,495",Automatic,"41,130",n/a,£0,134.5,Hybrid,1991,/ad/25461509
 C Class,2017," £17,795",Automatic,"37,778",37,£150  ,64.2,Diesel,2143,/ad/25465128
 C Class,2017," £17,875",Automatic,"44,325",n/a,£30,64.2,Diesel,2143,/ad/25478826
 C Class,2016," £14,000",Automatic,,Diesel,2.1,"45,000",,,/ad/25438463
 C Class,2017," £16,500",Automatic,"75,000",25,£30,64.2,Diesel,1.6,/ad/25434149
 C Class,2016," £21,000",Automatic,,Diesel,2.1,"36,000",,,/ad/25445105
 C Class,2015," £15,500",Automatic,"64,000",32,£30,64.2,Diesel,2.1,/ad/25484029
 C Class,2013," £7,250",Manual,"106,000",n/a,£30,64.2,Diesel,2.1,/ad/25390007
 C Class,2015," £13,000",Automatic,,Diesel,2143,"67,150",,,/ad/25093322
 C Class,2012," £11,000",Automatic,"43,426",32,£160,44.8,Petrol,1595,/ad/25137808
 C Class,2016," £13,300",Manual,"42,622",30,£20,70.6,Diesel,2143,/ad/25079440
 C Class,2016," £16,000",Manual,"34,903",31,£20,68.9,Diesel,2143,/ad/25068356
 C Class,2014," £12,500",Automatic,"35,345",38,£145,53.3,Diesel,2143,/ad/25111971
 C Class,2015," £14,495",Manual,"23,146",31,£115,52.3,Petrol,2000,/ad/23378957
 C Class,2017," £24,500",Automatic,"16,000",38,£145,65.7,Diesel,2.1,/ad/25391636
 C Class,2013," £23,990",Automatic,"44,000",44,£570,23.5,Petrol,6.2,/ad/25130498
 C Class,2015," £17,250",Automatic,"30,000",37,£30,64.2,Diesel,2.1,/ad/24899013
 C Class,2015," £14,200",Automatic,"22,000",35,£160,44.8,Petrol,1.6,/ad/25094223
 C Class,2017," £22,950",Automatic,"19,000",32,£150,47.1,Petrol,2,/ad/25457972
 C Class,2013," £10,500",Automatic,"90,000",34,£145,54.3,Diesel,2.1,/ad/25412338
 C Class,2014," £15,650",Automatic,"32,000",31,£20,64.2,Diesel,2.1,/ad/25094224
 C Class,2015," £14,850",Automatic,"90,000",n/a,£30,61.4,Diesel,2.1,/ad/25390005
 C Class,2017," £22,400",Automatic,,Diesel,2.1,"37,000",,,/ad/25454709
 C Class,2017," £19,950",Automatic,"23,000",31,£145  ,61.4,Diesel,2.1,/ad/25080837
 C Class,2014," £9,990",Automatic,"78,000",43,£145,53.3,Diesel,2143,/ad/24361039
 C Class,2015," £11,990",Automatic,"47,000",43,£145,53.3,Diesel,2143,/ad/24361041
 C Class,2017," £20,990",Automatic,"18,000",n/a,£145,58.9,Diesel,2143,/ad/24887882
 C Class,2015," £14,490",Automatic,"64,000",31,£30,64.2,Diesel,2143,/ad/25034674
 C Class,2013," £10,490",Automatic,"50,000",38,£145,54.3,Diesel,2143,/ad/25034676
 C Class,2016," £15,990",Automatic,"65,000",n/a,£30,64.2,Diesel,2143,/ad/25034697
 C Class,2016," £17,850",Automatic,"38,000",n/a,£30,64.2,Diesel,2.1,/ad/25020674
 C Class,2016," £16,450",Automatic,"70,000",n/a,£30,64.2,Diesel,2.1,/ad/24319885
 C Class,2013," £11,350",Automatic,"69,000",38,£145,54.3,Diesel,2.1,/ad/25388284
 C Class,2014," £12,900",Automatic,"41,000",35,£160,44.8,Petrol,1.6,/ad/25434146
 C Class,2018," £26,000",Automatic,"16,250",n/a,£150,46.3,Petrol,1.5,/ad/25461779
 C Class,2017," £22,767",Automatic,,Diesel,2.1,"30,676",,,/ad/25474336
 C Class,2015," £12,000",Automatic,,Diesel,2.1,"40,005",,,/ad/25483079
 C Class,2017," £18,999",Automatic,"38,000",n/a,£0,134.5,Hybrid,2,/ad/25113624
 C Class,2016," £14,000",Automatic,,Diesel,2.1,"45,000",,,/ad/25439449
 C Class,2015," £12,000",Automatic,,Diesel,2.1,"40,005",,,/ad/25483878
 C Class,2009," £4,343",Automatic,"120,000",37,£205,45.6,Diesel,2145,/ad/25454806
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
 C Class,2016," £16,500",Automatic,"51,936",n/a,£30,64.2,Diesel,2143,/ad/25465149
 C Class,2019," £27,750",Automatic,"4,000",n/a,£145,56.5,Diesel,1950,/ad/25396936
 C Class,2019," £28,950",Automatic,"8,500",n/a,£145,54.3,Diesel,1950,/ad/25354506
 C Class,2007," £3,495",Automatic,"119,168",26,£300,33.6,Petrol,1796,/ad/23701919
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
 C Class,2017," £59,740",Automatic,,Petrol,3982,"21,800",,,/ad/25377203
 C Class,2019," £44,990",Automatic,"19,999",n/a,£145  ,28.5,Petrol,3982,/ad/25448885
 C Class,2019," £54,990",Automatic,"1,600",n/a,£150  ,28.5,Petrol,3982,/ad/25450188
 C Class,2015," £15,995",Automatic,"46,221",n/a,£20,64.2,Diesel,2143,/ad/25114438
 C Class,2016," £14,000",Automatic,,Diesel,2.1,"45,000",,,/ad/25439107
 C Class,2015," £12,000",Automatic,,Diesel,2.1,"40,005",,,/ad/25483592
 C Class,2017," £22,767",Automatic,,Diesel,2.1,"30,676",,,/ad/25474955
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
 C Class,2014," £12,998",Semi-Auto,"52,712",31,£20,64.2,Diesel,2.1,/ad/25275406
 C Class,2017," £17,998",Semi-Auto,"59,858",n/a,£145  ,64.2,Diesel,2.1,/ad/25275412
 C Class,2019," £28,998",Manual,22,n/a,£145,48.7,Petrol,1.6,/ad/25275425
 C Class,2017," £24,998",Semi-Auto,"28,234",n/a,£160,43.5,Petrol,2,/ad/25275446
 C Class,2016," £19,498",Semi-Auto,"22,803",n/a,£30,61.4,Diesel,2.1,/ad/25275451
 C Class,2018," £23,498",Semi-Auto,"17,093",32,£145,67.3,Diesel,2.1,/ad/25275452
 C Class,2019," £25,498",Semi-Auto,"8,150",n/a,£145,60.1,Diesel,1.6,/ad/25395904
 C Class,2019," £24,998",Semi-Auto,"9,344",n/a,£145,55.4,Diesel,2,/ad/25395906
 C Class,2016," £18,498",Semi-Auto,"31,891",38,£0,134.5,Hybrid,2,/ad/25169189
 C Class,2014," £15,498",Semi-Auto,"36,243",32,£30,64.2,Diesel,2.1,/ad/25168972
 C Class,2017," £20,995",Semi-Auto,"33,000",n/a,£145  ,58.9,Diesel,2.1,/ad/25436546
 C Class,2018," £31,995",Semi-Auto,"11,300",n/a,£150,36.2,Petrol,3,/ad/25463937
 C Class,2017," £23,995",Semi-Auto,"32,800",38,£30,65.7,Diesel,2.1,/ad/25280981
 C Class,2014," £16,995",Automatic,"37,600",27,£30,64.2,Diesel,2.1,/ad/25280988
 C Class,2017," £24,995",Automatic,"14,000",33,£145,47.1,Petrol,2,/ad/25281047
 C Class,2014," £26,998",Semi-Auto,"24,175",44,£570,23.5,Petrol,6.2,/ad/25178666
 C Class,2016," £20,498",Semi-Auto,"27,968",38,£125,60.1,Diesel,2.1,/ad/25273283
 C Class,2018," £27,498",Semi-Auto,"9,255",n/a,£145,57.7,Diesel,2,/ad/25273328
 C Class,2016," £16,998",Semi-Auto,"26,973",25,£30,65.7,Diesel,1.6,/ad/25273333
 C Class,2018," £27,498",Semi-Auto,"12,491",38,£145,65.7,Diesel,2.1,/ad/25273384
 C Class,2019," £27,698",Semi-Auto,"14,999",n/a,£145,55.4,Diesel,2,/ad/25273408
 C Class,2016," £27,498",Semi-Auto,"37,941",n/a,£260,35.8,Petrol,3,/ad/25273417
 C Class,2019," £32,498",Semi-Auto,"11,301",n/a,£145,61.4,Diesel,2,/ad/25273425
 C Class,2019," £24,498",Semi-Auto,"12,629",n/a,£145,61.4,Diesel,2.1,/ad/25273454
 C Class,2017," £21,498",Semi-Auto,"20,981",n/a,£30,64.2,Diesel,2.1,/ad/25273461
 C Class,2017," £18,998",Semi-Auto,"23,760",n/a,£30,64.2,Diesel,2.1,/ad/25442083
 C Class,2014," £15,998",Semi-Auto,"26,216",34,£30,64.2,Diesel,2.1,/ad/25178730
 C Class,2013," £9,298",Semi-Auto,"80,485",38,£145,54.3,Diesel,2.1,/ad/25178811
 C Class,2018," £22,998",Semi-Auto,"18,739",n/a,£150,60.1,Diesel,2.1,/ad/25468327
 C Class,2016," £12,998",Manual,"53,453",30,£20,70.6,Diesel,2.1,/ad/25482169
 C Class,2016," £22,998",Semi-Auto,"23,090",37,£30,65.7,Diesel,2.1,/ad/25275354
 C Class,2016," £17,998",Manual,"26,100",31,£20,68.9,Diesel,2.1,/ad/25275377
 C Class,2019," £28,498",Semi-Auto,"4,285",n/a,£145,61.4,Diesel,2,/ad/25275380
 C Class,2016," £18,998",Semi-Auto,"28,388",26,£30,64.2,Diesel,1.6,/ad/25275382
 C Class,2017," £20,998",Semi-Auto,"16,902",31,£145,60.1,Diesel,2.1,/ad/25275385
 C Class,2016," £21,998",Semi-Auto,"31,227",37,£30,65.7,Diesel,2.1,/ad/25275391
 C Class,2015," £13,998",Manual,"24,010",25,£20,72.4,Diesel,1.6,/ad/25275491
 C Class,2019," £24,498",Semi-Auto,"15,838",n/a,£145,61.4,Diesel,2,/ad/25275495
 C Class,2017," £20,998",Semi-Auto,"17,657",38,n/a,74.3,Hybrid,2.1,/ad/25275496
 C Class,2019," £30,498",Semi-Auto,"4,977",n/a,£145,57.7,Diesel,2,/ad/25275501
 C Class,2016," £19,498",Semi-Auto,"24,756",n/a,£30,64.2,Diesel,2.1,/ad/25275510
 C Class,2014," £15,298",Semi-Auto,"41,416",31,£30,64.2,Diesel,2.1,/ad/25275516
 C Class,2019," £33,998",Semi-Auto,"3,814",n/a,£145,44.1,Petrol,1.5,/ad/25275541
 C Class,2019," £32,998",Semi-Auto,17,n/a,£145,46.3,Petrol,1.5,/ad/25275542
 C Class,2016," £16,498",Semi-Auto,"37,080",n/a,£20,64.2,Diesel,2.1,/ad/25275544
 C Class,2016," £15,498",Semi-Auto,"73,582",n/a,£30,61.4,Diesel,2.1,/ad/25275552
 C Class,2014," £15,498",Semi-Auto,"23,772",31,£20,64.2,Diesel,2.1,/ad/25425637
 C Class,2017," £18,998",Semi-Auto,"28,808",31,£145,61.4,Diesel,2.1,/ad/25436486
 C Class,2019," £24,495",Semi-Auto,"10,000",n/a,£145,61.4,Diesel,2,/ad/25236798
 C Class,2016," £18,990",Semi-Auto,"26,413",37,£20,64.2,Diesel,2.1,/ad/25236815
 C Class,2014," £10,995",Manual,"98,000",31,£20,68.9,Diesel,2.1,/ad/25441411
 C Class,2014," £15,698",Semi-Auto,"39,920",34,£30,64.2,Diesel,2.1,/ad/25183881
 C Class,2019," £22,498",Semi-Auto,"10,455",n/a,£145,46.3,Petrol,1.5,/ad/25275498
 C Class,2016," £19,298",Semi-Auto,"27,644",37,£30,64.2,Diesel,2.1,/ad/25371501
 C Class,2017," £16,498",Semi-Auto,"63,916",38,n/a,134.5,Hybrid,2,/ad/25428832
 C Class,2018," £19,998",Semi-Auto,"15,383",n/a,£145,46.3,Petrol,1.5,/ad/25275480
 C Class,2018," £20,685",Semi-Auto,"21,929",32,£145,64.2,Diesel,2.1,/ad/25378734
 C Class,2018," £20,489",Semi-Auto,"16,900",31,£145,61.4,Diesel,2.1,/ad/25436306
 C Class,2017," £13,800",Manual,"34,015",30,£145,70.6,Diesel,2.1,/ad/25308359
 C Class,2019," £31,998",Semi-Auto,"2,000",n/a,£145,42.2,Petrol,2,/ad/25366029
 C Class,2019," £29,998",Semi-Auto,"28,000",n/a,£145,44.1,Petrol,2,/ad/25366030
 C Class,2019," £24,998",Semi-Auto,"22,400",n/a,£145,44.1,Petrol,1.5,/ad/25366031
 C Class,2019," £32,998",Semi-Auto,"2,878",n/a,£145,42.2,Petrol,2,/ad/25365620
 C Class,2019," £32,998",Semi-Auto,"4,500",n/a,£145,42.2,Petrol,2,/ad/25365622
 C Class,2019," £29,998",Semi-Auto,836,n/a,£145,43.5,Petrol,2,/ad/25364604
 C Class,2017," £23,998",Semi-Auto,"14,462",32,£20,67.3,Diesel,2.1,/ad/25364607
 C Class,2016," £20,998",Semi-Auto,"23,429",39,£0,122.8,Hybrid,2,/ad/25363294
 C Class,2017," £16,498",Automatic,"20,764",n/a,£150,58.9,Diesel,2.1,/ad/25455584
 C Class,2013," £11,998",Semi-Auto,"31,706",40,£145,53.3,Diesel,2.1,/ad/25185739
 C Class,2015," £12,495",Automatic,"55,000",30,£30,64.2,Diesel,2.1,/ad/25211890
 C Class,2019," £19,298",Automatic,"10,059",n/a,£145,46.3,Petrol,1.5,/ad/25341200
 C Class,2019," £23,998",Semi-Auto,"10,357",n/a,£145,61.4,Diesel,2,/ad/25429769
 C Class,2015," £12,495",Semi-Auto,"50,374",30,£20,65.7,Diesel,2.1,/ad/25319567
 C Class,2015," £17,498",Semi-Auto,"42,471",37,£0,76.4,Hybrid,2.1,/ad/25173213
 C Class,2016," £16,198",Manual,"41,974",31,£20,68.9,Diesel,2.1,/ad/25173240
 C Class,2017," £18,498",Semi-Auto,"20,618",31,£30,64.2,Diesel,2.1,/ad/25274339
 C Class,2019," £24,998",Semi-Auto,"15,536",n/a,£145,47.1,Petrol,1.5,/ad/25274354
 C Class,2019," £24,998",Semi-Auto,"16,103",n/a,£145,47.1,Petrol,1.5,/ad/25274355
 C Class,2019," £21,998",Semi-Auto,"14,576",n/a,£145,46.3,Petrol,1.5,/ad/25274359
 C Class,2018," £29,498",Semi-Auto,"6,198",n/a,£145,54.3,Diesel,2,/ad/25274372
 C Class,2018," £29,498",Semi-Auto,"6,265",n/a,£145,54.3,Diesel,2,/ad/25274381
 C Class,2016," £16,998",Semi-Auto,"21,786",30,£20,65.7,Diesel,2.1,/ad/25274385
 C Class,2019," £33,998",Semi-Auto,"1,558",n/a,£145,44.1,Petrol,1.5,/ad/25274425
 C Class,2019," £32,998",Semi-Auto,"2,258",n/a,£145,46.3,Petrol,1.5,/ad/25274426
 C Class,2017," £18,998",Semi-Auto,"26,866",n/a,£30,64.2,Diesel,2.1,/ad/25274432
 C Class,2019," £32,498",Semi-Auto,"1,887",n/a,£145,46.3,Petrol,1.5,/ad/25274448
 C Class,2017," £25,798",Semi-Auto,"9,676",38,£145,65.7,Diesel,2.1,/ad/25176425
 C Class,2018," £20,498",Semi-Auto,"7,894",31,£145,60.1,Diesel,2.1,/ad/25176427
 C Class,2017," £18,498",Semi-Auto,"26,179",31,£145  ,60.1,Diesel,2.1,/ad/25176562
 C Class,2016," £14,498",Manual,"21,945",n/a,£125,53.3,Petrol,2,/ad/25466727
 C Class,2019," £29,498",Semi-Auto,"2,195",n/a,£145,61.4,Diesel,2,/ad/25178187
 C Class,2017," £17,998",Semi-Auto,"16,291",n/a,£145,50.4,Petrol,2,/ad/25178336
 C Class,2015," £13,498",Manual,"38,438",30,£20,70.6,Diesel,2.1,/ad/25180681
 C Class,2016," £19,698",Automatic,"25,107",39,£0,134.5,Hybrid,2,/ad/25180652
 C Class,2017," £22,498",Semi-Auto,"20,491",38,£135,74.3,Hybrid,2.1,/ad/25180769
 C Class,2015," £11,998",Manual,"52,792",25,£20,72.4,Diesel,1.6,/ad/25180773
 C Class,2013," £11,998",Semi-Auto,"30,035",33,£160,44.8,Petrol,1.6,/ad/25275035
 C Class,2020," £39,998",Semi-Auto,"3,620",n/a,n/a,217.3,Hybrid,2,/ad/25361111
 C Class,2019," £23,498",Semi-Auto,"19,204",n/a,£150,61.4,Diesel,2,/ad/25468324
 C Class,2019," £57,998",Semi-Auto,10,n/a,£145,28.5,Petrol,4,/ad/25275058
 C Class,2015," £16,315",Semi-Auto,"46,155",32,£30,64.2,Diesel,2.1,/ad/25354887
 C Class,2016," £13,991",Semi-Auto,"49,494",n/a,£30,64.2,Diesel,2.1,/ad/25227120
 C Class,2016," £16,998",Semi-Auto,"43,014",n/a,£30,64.2,Diesel,2.1,/ad/25175663
 C Class,2017," £16,498",Semi-Auto,,Diesel,2.1,"29,283",,,/ad/25175665
 C Class,2016," £16,998",Semi-Auto,"38,830",n/a,£20,64.2,Diesel,2.1,/ad/25180207
 C Class,2016," £13,690",Manual,"49,761",n/a,£20,68.9,Diesel,2.1,/ad/25472361
 C Class,2014," £14,490",Semi-Auto,"31,801",31,£20,64.2,Diesel,2.1,/ad/25472371
 C Class,2017," £17,998",Semi-Auto,"22,349",n/a,£145,50.4,Petrol,2,/ad/25359745
 C Class,2019," £29,998",Semi-Auto,"8,520",n/a,£145,61.4,Diesel,2,/ad/25436489
 C Class,2017," £18,998",Semi-Auto,"27,493",n/a,£0,78.5,Hybrid,2.1,/ad/25274962
 C Class,2018," £18,998",Semi-Auto,"15,075",31,£145,50.4,Petrol,2,/ad/25274972
 C Class,2019," £28,998",Semi-Auto,"5,116",n/a,£145,61.4,Diesel,2,/ad/25274980
 C Class,2019," £24,998",Semi-Auto,"15,009",n/a,£145,47.1,Petrol,1.5,/ad/25274985
 C Class,2018," £27,998",Semi-Auto,"6,787",n/a,£145,57.7,Diesel,2,/ad/25274987
 C Class,2015," £16,798",Semi-Auto,"32,409",32,£30,64.2,Diesel,2.1,/ad/25355480
 C Class,2017," £19,998",Semi-Auto,"23,690",n/a,£125,58.9,Diesel,2.1,/ad/25275007
 C Class,2020," £29,950",Semi-Auto,101,n/a,£145,48.7,Diesel,2,/ad/25164389
 C Class,2017," £20,790",Semi-Auto,"22,485",38,£0,74.3,Hybrid,2.1,/ad/25164390
 C Class,2013," £9,490",Semi-Auto,"41,921",29,£145,47.9,Petrol,1.6,/ad/25359734
 C Class,2017," £15,690",Semi-Auto,"35,488",n/a,£20,65.7,Diesel,2.1,/ad/25346791
 C Class,2017," £14,990",Manual,"41,647",31,£20,65.7,Diesel,2.1,/ad/25346793
 C Class,2015," £17,290",Semi-Auto,"24,923",n/a,£30,64.2,Diesel,2.1,/ad/25371481
 C Class,2018," £19,490",Semi-Auto,"11,810",31,£145,61.4,Diesel,2.1,/ad/25369700
 C Class,2019," £28,990",Semi-Auto,"2,000",n/a,£145,57.7,Diesel,2,/ad/25392629
 C Class,2017," £24,990",Automatic,"6,668",n/a,£145,58.9,Diesel,2.1,/ad/25436468
 C Class,2014," £28,990",Semi-Auto,"19,562",44,£570,23.5,Petrol,6.2,/ad/25442148
 C Class,2016," £16,298",Semi-Auto,"29,201",25,£30,64.2,Diesel,1.6,/ad/25180535
 C Class,2016," £14,698",Manual,"19,864",n/a,£20,70.6,Diesel,2.1,/ad/25364296
 C Class,2016," £13,998",Manual,"22,117",n/a,£125,53.3,Petrol,2,/ad/25181498
 C Class,2015," £14,698",Semi-Auto,"43,331",37,£20,64.2,Diesel,2.1,/ad/25181707
 C Class,2014," £10,498",Semi-Auto,"51,929",43,£145,53.3,Diesel,2.1,/ad/25378581
 C Class,2015," £11,998",Semi-Auto,"42,245",30,£150,53.3,Diesel,2.1,/ad/25476383
 C Class,2016," £15,698",Automatic,"42,062",n/a,£125,50.4,Petrol,2,/ad/25185873
 C Class,2015," £16,998",Semi-Auto,"43,883",n/a,£125,60.1,Diesel,2.1,/ad/25185938
 C Class,2016," £17,998",Semi-Auto,"36,587",38,£0,134.5,Hybrid,2,/ad/25185394
 C Class,2017," £20,998",Semi-Auto,"42,036",32,£20,67.3,Diesel,2.1,/ad/25466706
 C Class,2016," £13,691",Semi-Auto,"36,538",24,£30,65.7,Diesel,1.6,/ad/25451830
 C Class,2014," £13,491",Manual,"56,000",31,£20,68.9,Diesel,2.1,/ad/25410161
 C Class,2017," £21,998",Semi-Auto,"11,986",32,£150,48.7,Petrol,2,/ad/25450965
 C Class,2015," £14,500",Semi-Auto,"38,783",37,£20,64.2,Diesel,2.1,/ad/25200086
 C Class,2017," £15,990",Semi-Auto,"38,051",n/a,£20,64.2,Diesel,2.1,/ad/25271659
 C Class,2016," £20,490",Semi-Auto,"10,542",n/a,£125,51.4,Petrol,2,/ad/25271578
 C Class,2018," £20,890",Semi-Auto,"3,033",n/a,£145,44.1,Petrol,1.5,/ad/25271592
 C Class,2014," £14,490",Semi-Auto,"59,884",37,£30,64.2,Diesel,2.1,/ad/25271617
 C Class,2018," £21,990",Semi-Auto,"1,871",n/a,£145,44.1,Petrol,1.5,/ad/25271631
 C Class,2015," £14,750",Semi-Auto,"32,594",31,£20,64.2,Diesel,2.1,/ad/25271632
 C Class,2019," £44,990",Automatic,"1,474",n/a,£145,29.1,Petrol,3,/ad/25274865
 C Class,2019," £24,690",Semi-Auto,"15,210",n/a,£145,47.1,Petrol,1.5,/ad/25274798
 C Class,2017," £18,270",Semi-Auto,"49,783",n/a,£30,64.2,Diesel,2.1,/ad/25274799
 C Class,2018," £26,625",Automatic,"7,175",n/a,£145,57.7,Diesel,2,/ad/25274805
 C Class,2015," £13,361",Semi-Auto,"35,034",29,£125,53.3,Petrol,2,/ad/25274831
 C Class,2017," £17,490",Semi-Auto,"35,576",31,£145,64.2,Diesel,2.1,/ad/25274834
 C Class,2019," £26,427",Automatic,"13,888",n/a,£145,55.4,Diesel,2,/ad/25274838
 C Class,2019," £29,290",Semi-Auto,"4,703",n/a,£145,57.7,Diesel,2,/ad/25274846
 C Class,2017," £23,047",Semi-Auto,"8,143",37,£145,65.7,Diesel,2.1,/ad/25274849
 C Class,2015," £13,621",Semi-Auto,"57,066",25,£30,65.7,Diesel,1.6,/ad/25274884
 C Class,2017," £18,200",Semi-Auto,"25,296",31,£30,61.4,Diesel,2.1,/ad/25274896
 C Class,2017," £16,991",Semi-Auto,"29,907",n/a,£145,64.2,Diesel,2.1,/ad/25274914
 C Class,2018," £23,498",Semi-Auto,"5,659",n/a,£145,40.4,Petrol,2,/ad/25177463
 C Class,2015," £14,698",Semi-Auto,"23,063",29,£20,65.7,Diesel,2.1,/ad/25177639
 C Class,2013," £9,798",Semi-Auto,"60,948",34,£150,54.3,Diesel,2.1,/ad/25476229
 C Class,2016," £17,998",Automatic,"32,769",n/a,£30,64.2,Diesel,2.1,/ad/25176777
 C Class,2017," £18,998",Automatic,"20,949",31,£145,61.4,Diesel,2.1,/ad/25176786
 C Class,2016," £20,700",Semi-Auto,"27,890",38,£20,67.3,Diesel,2.1,/ad/25274853
 C Class,2015," £16,990",Semi-Auto,"11,954",37,£20,64.2,Diesel,2.1,/ad/25274855
 C Class,2014," £11,791",Semi-Auto,"42,879",38,£145,53.3,Diesel,2.1,/ad/25222113
 C Class,2015," £18,191",Semi-Auto,"11,470",27,£30,64.2,Diesel,1.6,/ad/25463887
 C Class,2016," £20,991",Semi-Auto,"26,205",n/a,£125,58.9,Diesel,2.1,/ad/25460186
 C Class,2017," £13,321",Semi-Auto,"61,305",24,£150,65.7,Diesel,1.6,/ad/25460187
 C Class,2016," £21,998",Semi-Auto,"10,561",32,£20,67.3,Diesel,2.1,/ad/25176932
 C Class,2017," £15,998",Semi-Auto,"72,939",39,£0,134.5,Hybrid,2,/ad/25176160
