model,year,price,transmission,mileage,fuelType,engineSize
 C Class,2012,11000,Automatic,43426,Petrol,1.6
 C Class,2016,13300,Manual,42622,Diesel,2.1
 C Class,2016,16000,Manual,34903,Diesel,2.1
 C Class,2014,12500,Automatic,35345,Diesel,2.1
 C Class,2015,14495,Manual,23146,Petrol,2.0
 C Class,2017,24500,Automatic,16000,Diesel,2.1
 C Class,2013,23990,Automatic,44000,Petrol,6.2
 C Class,2015,17250,Automatic,30000,Diesel,2.1
 C Class,2015,14200,Automatic,22000,Petrol,1.6
 C Class,2017,22950,Automatic,19000,Petrol,2.0
 C Class,2013,10500,Automatic,90000,Diesel,2.1
 C Class,2014,15650,Automatic,32000,Diesel,2.1
 C Class,2015,14850,Automatic,90000,Diesel,2.1
 C Class,2017,22400,Automatic,37000,Diesel,2.1
 C Class,2017,19950,Automatic,23000,Diesel,2.1
 C Class,2014,9990,Automatic,78000,Diesel,2.1
 C Class,2015,11990,Automatic,47000,Diesel,2.1
 C Class,2017,20990,Automatic,18000,Diesel,2.1
 C Class,2015,14490,Automatic,64000,Diesel,2.1
 C Class,2013,10490,Automatic,50000,Diesel,2.1
 C Class,2016,15990,Automatic,65000,Diesel,2.1
 C Class,2016,17850,Automatic,38000,Diesel,2.1
 C Class,2016,16450,Automatic,70000,Diesel,2.1
 C Class,2013,11350,Automatic,69000,Diesel,2.1
 C Class,2014,12900,Automatic,41000,Petrol,1.6
 C Class,2018,26000,Automatic,16250,Petrol,1.5
 C Class,2017,22767,Automatic,30676,Diesel,2.1
 C Class,2015,12000,Automatic,40005,Diesel,2.1
 C Class,2017,18999,Automatic,38000,Hybrid,2.0
 C Class,2016,14000,Automatic,45000,Diesel,2.1
 C Class,2015,12000,Automatic,40005,Diesel,2.1
 C Class,2009,4343,Automatic,120000,Diesel,2.1
 C Class,2016,16500,Automatic,51936,Diesel,2.1
 C Class,2019,27750,Automatic,4000,Diesel,2.0
 C Class,2019,28950,Automatic,8500,Diesel,2.0
 C Class,2007,3495,Automatic,119168,Petrol,1.8
 C Class,2017,59740,Automatic,21800,Petrol,4.0
 C Class,2019,44990,Automatic,19999,Petrol,4.0
 C Class,2019,54990,Automatic,1600,Petrol,4.0
 C Class,2015,15995,Automatic,46221,Diesel,2.1
 C Class,2016,14000,Automatic,45000,Diesel,2.1
 C Class,2015,12000,Automatic,40005,Diesel,2.1
 C Class,2017,22767,Automatic,30676,Diesel,2.1
 C Class,2014,12998,Semi-Auto,52712,Diesel,2.1
 C Class,2017,17998,Semi-Auto,59858,Diesel,2.1
 C Class,2019,28998,Manual,22,Petrol,1.6
 C Class,2017,24998,Semi-Auto,28234,Petrol,2.0
 C Class,2016,19498,Semi-Auto,22803,Diesel,2.1
 C Class,2018,23498,Semi-Auto,17093,Diesel,2.1
 C Class,2019,25498,Semi-Auto,8150,Diesel,1.6
 C Class,2019,24998,Semi-Auto,9344,Diesel,2.0
 C Class,2016,18498,Semi-Auto,31891,Hybrid,2.0
 C Class,2014,15498,Semi-Auto,36243,Diesel,2.1
 C Class,2017,20995,Semi-Auto,33000,Diesel,2.1
 C Class,2018,31995,Semi-Auto,11300,Petrol,3.0
 C Class,2017,23995,Semi-Auto,32800,Diesel,2.1
 C Class,2014,16995,Automatic,37600,Diesel,2.1
 C Class,2017,24995,Automatic,14000,Petrol,2.0
 C Class,2014,26998,Semi-Auto,24175,Petrol,6.2
 C Class,2016,20498,Semi-Auto,27968,Diesel,2.1
 C Class,2018,27498,Semi-Auto,9255,Diesel,2.0
 C Class,2016,16998,Semi-Auto,26973,Diesel,1.6
 C Class,2018,27498,Semi-Auto,12491,Diesel,2.1
 C Class,2019,27698,Semi-Auto,14999,Diesel,2.0
 C Class,2016,27498,Semi-Auto,37941,Petrol,3.0
 C Class,2019,32498,Semi-Auto,11301,Diesel,2.0
 C Class,2019,24498,Semi-Auto,12629,Diesel,2.1
 C Class,2017,21498,Semi-Auto,20981,Diesel,2.1
 C Class,2017,18998,Semi-Auto,23760,Diesel,2.1
 C Class,2014,15998,Semi-Auto,26216,Diesel,2.1
 C Class,2013,9298,Semi-Auto,80485,Diesel,2.1
 C Class,2018,22998,Semi-Auto,18739,Diesel,2.1
 C Class,2016,12998,Manual,53453,Diesel,2.1
 C Class,2016,22998,Semi-Auto,23090,Diesel,2.1
 C Class,2016,17998,Manual,26100,Diesel,2.1
 C Class,2019,28498,Semi-Auto,4285,Diesel,2.0
 C Class,2016,18998,Semi-Auto,28388,Diesel,1.6
 C Class,2017,20998,Semi-Auto,16902,Diesel,2.1
 C Class,2016,21998,Semi-Auto,31227,Diesel,2.1
 C Class,2015,13998,Manual,24010,Diesel,1.6
 C Class,2019,24498,Semi-Auto,15838,Diesel,2.0
 C Class,2017,20998,Semi-Auto,17657,Hybrid,2.1
 C Class,2019,30498,Semi-Auto,4977,Diesel,2.0
 C Class,2016,19498,Semi-Auto,24756,Diesel,2.1
 C Class,2014,15298,Semi-Auto,41416,Diesel,2.1
 C Class,2019,33998,Semi-Auto,3814,Petrol,1.5
 C Class,2019,32998,Semi-Auto,17,Petrol,1.5
 C Class,2016,16498,Semi-Auto,37080,Diesel,2.1
 C Class,2016,15498,Semi-Auto,73582,Diesel,2.1
 C Class,2014,15498,Semi-Auto,23772,Diesel,2.1
 C Class,2017,18998,Semi-Auto,28808,Diesel,2.1
 C Class,2019,24495,Semi-Auto,10000,Diesel,2.0
 C Class,2016,18990,Semi-Auto,26413,Diesel,2.1
 C Class,2014,10995,Manual,98000,Diesel,2.1
 C Class,2014,15698,Semi-Auto,39920,Diesel,2.1
 C Class,2019,22498,Semi-Auto,10455,Petrol,1.5
 C Class,2016,19298,Semi-Auto,27644,Diesel,2.1
 C Class,2017,16498,Semi-Auto,63916,Hybrid,2.0
 C Class,2018,19998,Semi-Auto,15383,Petrol,1.5
 C Class,2018,20685,Semi-Auto,21929,Diesel,2.1
 C Class,2018,20489,Semi-Auto,16900,Diesel,2.1
 C Class,2017,13800,Manual,34015,Diesel,2.1
 C Class,2019,31998,Semi-Auto,2000,Petrol,2.0
 C Class,2019,29998,Semi-Auto,28000,Petrol,2.0
 C Class,2019,24998,Semi-Auto,22400,Petrol,1.5
 C Class,2019,32998,Semi-Auto,2878,Petrol,2.0
 C Class,2019,32998,Semi-Auto,4500,Petrol,2.0
 C Class,2019,29998,Semi-Auto,836,Petrol,2.0
 C Class,2017,23998,Semi-Auto,14462,Diesel,2.1
 C Class,2016,20998,Semi-Auto,23429,Hybrid,2.0
 C Class,2017,16498,Automatic,20764,Diesel,2.1
 C Class,2013,11998,Semi-Auto,31706,Diesel,2.1
 C Class,2015,12495,Automatic,55000,Diesel,2.1
 C Class,2019,19298,Automatic,10059,Petrol,1.5
 C Class,2019,23998,Semi-Auto,10357,Diesel,2.0
 C Class,2015,12495,Semi-Auto,50374,Diesel,2.1
 C Class,2015,17498,Semi-Auto,42471,Hybrid,2.1
 C Class,2016,16198,Manual,41974,Diesel,2.1
 C Class,2017,18498,Semi-Auto,20618,Diesel,2.1
 C Class,2019,24998,Semi-Auto,15536,Petrol,1.5
 C Class,2019,24998,Semi-Auto,16103,Petrol,1.5
 C Class,2019,21998,Semi-Auto,14576,Petrol,1.5
 C Class,2018,29498,Semi-Auto,6198,Diesel,2.0
 C Class,2018,29498,Semi-Auto,6265,Diesel,2.0
 C Class,2016,16998,Semi-Auto,21786,Diesel,2.1
 C Class,2019,33998,Semi-Auto,1558,Petrol,1.5
 C Class,2019,32998,Semi-Auto,2258,Petrol,1.5
 C Class,2017,18998,Semi-Auto,26866,Diesel,2.1
 C Class,2019,32498,Semi-Auto,1887,Petrol,1.5
 C Class,2017,25798,Semi-Auto,9676,Diesel,2.1
 C Class,2018,20498,Semi-Auto,7894,Diesel,2.1
 C Class,2017,18498,Semi-Auto,26179,Diesel,2.1
 C Class,2016,14498,Manual,21945,Petrol,2.0
 C Class,2019,29498,Semi-Auto,2195,Diesel,2.0
 C Class,2017,17998,Semi-Auto,16291,Petrol,2.0
 C Class,2015,13498,Manual,38438,Diesel,2.1
 C Class,2016,19698,Automatic,25107,Hybrid,2.0
 C Class,2017,22498,Semi-Auto,20491,Hybrid,2.1
 C Class,2015,11998,Manual,52792,Diesel,1.6
 C Class,2013,11998,Semi-Auto,30035,Petrol,1.6
 C Class,2020,39998,Semi-Auto,3620,Hybrid,2.0
 C Class,2019,23498,Semi-Auto,19204,Diesel,2.0
 C Class,2019,57998,Semi-Auto,10,Petrol,4.0
 C Class,2015,16315,Semi-Auto,46155,Diesel,2.1
 C Class,2016,13991,Semi-Auto,49494,Diesel,2.1
 C Class,2016,16998,Semi-Auto,43014,Diesel,2.1
 C Class,2017,16498,Semi-Auto,29283,Diesel,2.1
 C Class,2016,16998,Semi-Auto,38830,Diesel,2.1
 C Class,2016,13690,Manual,49761,Diesel,2.1
 C Class,2014,14490,Semi-Auto,31801,Diesel,2.1
 C Class,2017,17998,Semi-Auto,22349,Petrol,2.0
 C Class,2019,29998,Semi-Auto,8520,Diesel,2.0
 C Class,2017,18998,Semi-Auto,27493,Hybrid,2.1
 C Class,2018,18998,Semi-Auto,15075,Petrol,2.0
 C Class,2019,28998,Semi-Auto,5116,Diesel,2.0
 C Class,2019,24998,Semi-Auto,15009,Petrol,1.5
 C Class,2018,27998,Semi-Auto,6787,Diesel,2.0
 C Class,2015,16798,Semi-Auto,32409,Diesel,2.1
 C Class,2017,19998,Semi-Auto,23690,Diesel,2.1
 C Class,2020,29950,Semi-Auto,101,Diesel,2.0
 C Class,2017,20790,Semi-Auto,22485,Hybrid,2.1
 C Class,2013,9490,Semi-Auto,41921,Petrol,1.6
 C Class,2017,15690,Semi-Auto,35488,Diesel,2.1
 C Class,2017,14990,Manual,41647,Diesel,2.1
 C Class,2015,17290,Semi-Auto,24923,Diesel,2.1
 C Class,2018,19490,Semi-Auto,11810,Diesel,2.1
 C Class,2019,28990,Semi-Auto,2000,Diesel,2.0
 C Class,2017,24990,Automatic,6668,Diesel,2.1
 C Class,2014,28990,Semi-Auto,19562,Petrol,6.2
 C Class,2016,16298,Semi-Auto,29201,Diesel,1.6
 C Class,2016,14698,Manual,19864,Diesel,2.1
 C Class,2016,13998,Manual,22117,Petrol,2.0
 C Class,2015,14698,Semi-Auto,43331,Diesel,2.1
 C Class,2014,10498,Semi-Auto,51929,Diesel,2.1
 C Class,2015,11998,Semi-Auto,42245,Diesel,2.1
 C Class,2016,15698,Automatic,42062,Petrol,2.0
 C Class,2015,16998,Semi-Auto,43883,Diesel,2.1
 C Class,2016,17998,Semi-Auto,36587,Hybrid,2.0
 C Class,2017,20998,Semi-Auto,42036,Diesel,2.1
 C Class,2016,13691,Semi-Auto,36538,Diesel,1.6
 C Class,2014,13491,Manual,56000,Diesel,2.1
 C Class,2017,21998,Semi-Auto,11986,Petrol,2.0
 C Class,2015,14500,Semi-Auto,38783,Diesel,2.1
 C Class,2017,15990,Semi-Auto,38051,Diesel,2.1
 C Class,2016,20490,Semi-Auto,10542,Petrol,2.0
 C Class,2018,20890,Semi-Auto,3033,Petrol,1.5
 C Class,2014,14490,Semi-Auto,59884,Diesel,2.1
 C Class,2018,21990,Semi-Auto,1871,Petrol,1.5
 C Class,2015,14750,Semi-Auto,32594,Diesel,2.1
 C Class,2019,44990,Automatic,1474,Petrol,3.0
 C Class,2019,24690,Semi-Auto,15210,Petrol,1.5
 C Class,2017,18270,Semi-Auto,49783,Diesel,2.1
 C Class,2018,26625,Automatic,7175,Diesel,2.0
 C Class,2015,13361,Semi-Auto,35034,Petrol,2.0
 C Class,2017,17490,Semi-Auto,35576,Diesel,2.1
 C Class,2019,26427,Automatic,13888,Diesel,2.0
 C Class,2019,29290,Semi-Auto,4703,Diesel,2.0
 C Class,2017,23047,Semi-Auto,8143,Diesel,2.1
 C Class,2015,13621,Semi-Auto,57066,Diesel,1.6
 C Class,2017,18200,Semi-Auto,25296,Diesel,2.1
 C Class,2017,16991,Semi-Auto,29907,Diesel,2.1
 C Class,2018,23498,Semi-Auto,5659,Petrol,2.0
 C Class,2015,14698,Semi-Auto,23063,Diesel,2.1
 C Class,2013,9798,Semi-Auto,60948,Diesel,2.1
 C Class,2016,17998,Automatic,32769,Diesel,2.1
 C Class,2017,18998,Automatic,20949,Diesel,2.1
 C Class,2016,20700,Semi-Auto,27890,Diesel,2.1
 C Class,2015,16990,Semi-Auto,11954,Diesel,2.1
 C Class,2014,11791,Semi-Auto,42879,Diesel,2.1
 C Class,2015,18191,Semi-Auto,11470,Diesel,1.6
 C Class,2016,20991,Semi-Auto,26205,Diesel,2.1
 C Class,2017,13321,Semi-Auto,61305,Diesel,1.6
 C Class,2016,21998,Semi-Auto,10561,Diesel,2.1
 C Class,2017,15998,Semi-Auto,72939,Hybrid,2.0
 C Class,2015,13498,Manual,31125,Diesel,2.1
 C Class,2017,20871,Semi-Auto,37194,Diesel,2.1
 C Class,2018,25891,Semi-Auto,2240,Petrol,2.0
 C Class,2017,20591,Semi-Auto,21023,Diesel,2.1
 C Class,2016,19991,Semi-Auto,35975,Diesel,2.1
 C Class,2015,15990,Semi-Auto,55226,Diesel,2.1
 C Class,2019,30055,Automatic,3686,Diesel,2.0
 C Class,2017,21650,Automatic,33943,Petrol,2.0
 C Class,2018,25990,Semi-Auto,9699,Petrol,2.0
 C Class,2017,17690,Semi-Auto,25059,Diesel,2.1
 C Class,2019,30950,Automatic,101,Diesel,2.0
 C Class,2019,24950,Automatic,7006,Petrol,1.5
 C Class,2015,14998,Semi-Auto,38671,Diesel,2.1
 C Class,2017,19798,Semi-Auto,19877,Hybrid,2.0
 C Class,2019,24498,Semi-Auto,7937,Petrol,1.5
 C Class,2018,19991,Semi-Auto,20027,Diesel,2.1
 C Class,2017,21991,Semi-Auto,19953,Diesel,2.1
 C Class,2018,22591,Semi-Auto,18551,Diesel,2.1
 C Class,2019,18790,Semi-Auto,14288,Diesel,2.1
 C Class,2019,25950,Automatic,10485,Petrol,1.5
 C Class,2020,29950,Semi-Auto,101,Diesel,2.0
 C Class,2017,14990,Semi-Auto,27424,Diesel,2.1
 C Class,2020,31950,Automatic,2985,Diesel,2.0
 C Class,2016,20990,Semi-Auto,36051,Diesel,2.1
 C Class,2020,28990,Automatic,3458,Petrol,1.5
 C Class,2019,27000,Semi-Auto,6406,Diesel,2.0
 C Class,2015,12590,Semi-Auto,65000,Diesel,2.1
 C Class,2018,20885,Semi-Auto,22773,Diesel,2.1
 C Class,2014,25885,Semi-Auto,37000,Petrol,6.2
 C Class,2016,14965,Semi-Auto,30487,Diesel,2.1
 C Class,2017,16595,Automatic,29814,Diesel,2.1
 C Class,2018,17940,Semi-Auto,28050,Diesel,2.1
 C Class,2018,19940,Semi-Auto,18882,Diesel,2.1
 C Class,2016,16498,Semi-Auto,27034,Diesel,1.6
 C Class,2016,14500,Semi-Auto,40620,Diesel,1.6
 C Class,2019,27791,Semi-Auto,9057,Diesel,2.0
 C Class,2019,26499,Semi-Auto,7060,Diesel,2.0
 C Class,2019,31990,Semi-Auto,4615,Diesel,2.0
 C Class,2018,20999,Semi-Auto,9250,Petrol,1.5
 C Class,2019,31999,Semi-Auto,1052,Diesel,2.0
 C Class,2017,17495,Semi-Auto,25149,Petrol,2.0
 C Class,2019,25495,Semi-Auto,5947,Petrol,1.6
 C Class,2019,36995,Automatic,2749,Diesel,2.0
 C Class,2019,30999,Semi-Auto,7144,Diesel,2.0
 C Class,2019,29999,Semi-Auto,4843,Diesel,2.0
 C Class,2016,17880,Automatic,44641,Diesel,2.1
 C Class,2016,13660,Manual,26682,Diesel,2.1
 C Class,2016,23920,Automatic,18865,Diesel,2.1
 C Class,2017,22960,Semi-Auto,21225,Diesel,2.1
 C Class,2017,16590,Semi-Auto,52519,Diesel,1.6
 C Class,2017,17990,Semi-Auto,42000,Diesel,2.1
 C Class,2019,22270,Automatic,3233,Petrol,1.6
 C Class,2016,22680,Semi-Auto,28535,Diesel,2.1
 C Class,2017,22440,Semi-Auto,32629,Diesel,2.1
 C Class,2016,17820,Semi-Auto,30748,Diesel,2.1
 C Class,2016,19290,Semi-Auto,17600,Diesel,2.1
 C Class,2016,16390,Semi-Auto,31360,Diesel,2.1
 C Class,2016,14450,Semi-Auto,19598,Petrol,2.0
 C Class,2016,17250,Automatic,28192,Diesel,2.1
 C Class,2016,19690,Semi-Auto,38087,Diesel,2.1
 C Class,2017,19250,Semi-Auto,23523,Diesel,2.1
 C Class,2019,21980,Automatic,7716,Petrol,1.5
 C Class,2019,23990,Automatic,1647,Petrol,1.5
 C Class,2019,21980,Semi-Auto,5572,Petrol,1.5
 C Class,2019,27990,Automatic,101,Diesel,2.0
 C Class,2015,16998,Semi-Auto,66796,Hybrid,2.1
 C Class,2016,19698,Semi-Auto,41056,Diesel,2.1
 C Class,2015,15498,Manual,32140,Diesel,2.1
 C Class,2020,67999,Semi-Auto,1500,Petrol,4.0
 C Class,2020,34999,Semi-Auto,1500,Petrol,1.5
 C Class,2016,21299,Semi-Auto,12249,Petrol,2.0
 C Class,2017,17999,Semi-Auto,37564,Hybrid,2.0
 C Class,2019,19999,Semi-Auto,14360,Petrol,1.5
 C Class,2017,21999,Semi-Auto,10288,Petrol,2.0
 C Class,2016,17699,Semi-Auto,43236,Diesel,2.1
 C Class,2016,14580,Semi-Auto,33113,Diesel,2.1
 C Class,2017,23990,Semi-Auto,19784,Petrol,2.0
 C Class,2019,28660,Automatic,1610,Diesel,2.0
 C Class,2017,19490,Semi-Auto,31326,Diesel,2.1
 C Class,2017,21770,Semi-Auto,32790,Diesel,2.1
 C Class,2019,25990,Semi-Auto,11728,Diesel,2.0
 C Class,2019,28660,Automatic,6282,Diesel,2.0
 C Class,2017,22590,Semi-Auto,41131,Diesel,2.1
 C Class,2017,22770,Automatic,14052,Diesel,2.1
 C Class,2015,16480,Automatic,44929,Diesel,2.1
 C Class,2018,27698,Semi-Auto,10579,Diesel,2.0
 C Class,2017,16499,Semi-Auto,30536,Petrol,2.0
 C Class,2019,19895,Semi-Auto,10985,Petrol,1.5
 C Class,2019,27595,Semi-Auto,11480,Diesel,2.0
 C Class,2019,25795,Semi-Auto,12986,Diesel,2.0
 C Class,2019,24499,Semi-Auto,3984,Petrol,1.5
 C Class,2019,30495,Semi-Auto,8771,Petrol,2.0
 C Class,2019,29999,Semi-Auto,1683,Diesel,2.0
 C Class,2018,27495,Semi-Auto,16347,Diesel,2.0
 C Class,2019,21795,Manual,6959,Petrol,1.6
 C Class,2013,9881,Automatic,50591,Petrol,1.6
 C Class,2015,13498,Manual,14480,Petrol,2.0
 C Class,2019,24450,Semi-Auto,10471,Diesel,2.0
 C Class,2015,17450,Semi-Auto,37000,Diesel,2.1
 C Class,2016,14450,Semi-Auto,34000,Diesel,2.1
 C Class,2017,24990,Semi-Auto,22369,Diesel,2.1
 C Class,2015,16440,Semi-Auto,29286,Diesel,2.1
 C Class,2014,9891,Semi-Auto,52500,Diesel,2.1
 C Class,2015,16998,Semi-Auto,26273,Petrol,2.0
 C Class,2015,16710,Semi-Auto,48123,Diesel,2.1
 C Class,2017,22495,Automatic,19779,Diesel,2.1
 C Class,2017,21565,Automatic,39447,Petrol,2.0
 C Class,2017,21697,Semi-Auto,28272,Petrol,2.0
 C Class,2016,20990,Semi-Auto,20972,Diesel,2.1
 C Class,2016,14770,Semi-Auto,21745,Petrol,2.0
 C Class,2015,13448,Semi-Auto,31878,Diesel,2.1
 C Class,2014,15998,Semi-Auto,34382,Diesel,2.1
 C Class,2018,27498,Semi-Auto,12170,Diesel,2.0
 C Class,2016,19498,Semi-Auto,24111,Hybrid,2.0
 C Class,2017,22498,Semi-Auto,22888,Diesel,2.1
 C Class,2016,20105,Automatic,14965,Diesel,2.1
 C Class,2016,14220,Semi-Auto,45868,Diesel,2.1
 C Class,2017,22260,Semi-Auto,27637,Diesel,2.1
 C Class,2014,16990,Semi-Auto,32475,Diesel,2.1
 C Class,2019,41880,Automatic,151,Petrol,3.0
 C Class,2019,30990,Automatic,151,Diesel,2.0
 C Class,2019,28880,Automatic,7324,Petrol,1.5
 C Class,2019,28990,Automatic,2501,Diesel,2.0
 C Class,2016,18700,Semi-Auto,33237,Diesel,2.1
 C Class,2017,17440,Semi-Auto,63019,Diesel,2.1
 C Class,2016,17770,Semi-Auto,27306,Diesel,2.1
 C Class,2017,18433,Semi-Auto,34278,Diesel,2.1
 C Class,2016,21440,Semi-Auto,26600,Diesel,2.1
 C Class,2017,22170,Semi-Auto,19155,Diesel,2.1
 C Class,2017,21115,Semi-Auto,31538,Diesel,2.1
 C Class,2019,21497,Semi-Auto,3539,Diesel,1.6
 C Class,2019,28400,Semi-Auto,1287,Diesel,2.0
 C Class,2016,22765,Automatic,25178,Diesel,2.1
 C Class,2018,22880,Semi-Auto,23061,Diesel,2.1
 C Class,2019,22455,Automatic,3761,Petrol,1.5
 C Class,2017,17330,Semi-Auto,22684,Diesel,2.1
 C Class,2017,18795,Automatic,46294,Diesel,2.1
 C Class,2016,15220,Semi-Auto,39656,Diesel,2.1
 C Class,2017,21440,Semi-Auto,13096,Diesel,2.1
 C Class,2017,20200,Semi-Auto,21462,Diesel,2.1
 C Class,2018,19660,Semi-Auto,5232,Diesel,1.6
 C Class,2017,22990,Semi-Auto,15527,Diesel,2.1
 C Class,2018,22770,Semi-Auto,21200,Diesel,2.1
 C Class,2018,19775,Semi-Auto,45335,Diesel,2.1
 C Class,2017,24660,Semi-Auto,9873,Diesel,2.1
 C Class,2017,33495,Semi-Auto,22574,Petrol,4.0
 C Class,2019,26890,Semi-Auto,1705,Petrol,1.6
 C Class,2019,26885,Semi-Auto,2622,Petrol,1.6
 C Class,2019,34790,Semi-Auto,5298,Diesel,2.0
 C Class,2017,18495,Semi-Auto,22994,Petrol,2.0
 C Class,2016,15699,Semi-Auto,30301,Diesel,2.1
 C Class,2017,18499,Semi-Auto,28480,Diesel,1.6
 C Class,2018,24799,Semi-Auto,20087,Petrol,2.0
 C Class,2017,18995,Automatic,11800,Diesel,2.1
 C Class,2014,15280,Semi-Auto,25901,Diesel,2.1
 C Class,2014,14795,Automatic,20417,Petrol,2.0
 C Class,2018,19840,Automatic,14467,Diesel,2.1
 C Class,2014,13791,Semi-Auto,53144,Diesel,2.1
 C Class,2017,24360,Semi-Auto,14346,Diesel,2.1
 C Class,2016,16990,Semi-Auto,35991,Diesel,2.1
 C Class,2016,17990,Semi-Auto,30795,Diesel,2.1
 C Class,2014,14990,Semi-Auto,56958,Diesel,2.1
 C Class,2016,15990,Semi-Auto,26957,Diesel,1.6
 C Class,2017,16998,Semi-Auto,26281,Diesel,1.6
 C Class,2016,21495,Semi-Auto,16723,Diesel,2.1
 C Class,2016,20995,Semi-Auto,14909,Diesel,2.1
 C Class,2018,20495,Semi-Auto,24158,Diesel,2.1
 C Class,2019,24736,Semi-Auto,10605,Diesel,2.0
 C Class,2017,21595,Semi-Auto,12648,Diesel,2.1
 C Class,2017,21295,Semi-Auto,36135,Diesel,2.1
 C Class,2016,19995,Semi-Auto,19488,Diesel,2.1
 C Class,2017,23495,Semi-Auto,23033,Diesel,2.1
 C Class,2016,15490,Semi-Auto,22178,Diesel,1.6
 C Class,2017,17000,Semi-Auto,23400,Diesel,2.1
 C Class,2017,16402,Automatic,22214,Petrol,2.0
 C Class,2019,20682,Automatic,10920,Diesel,2.1
 C Class,2018,29232,Semi-Auto,8673,Diesel,2.0
 C Class,2015,14698,Semi-Auto,39687,Petrol,2.0
 C Class,2014,14288,Semi-Auto,54230,Diesel,2.1
 C Class,2018,18265,Semi-Auto,16974,Diesel,2.1
 C Class,2014,15971,Semi-Auto,14354,Petrol,2.0
 C Class,2017,19465,Automatic,35599,Petrol,2.0
 C Class,2017,16210,Semi-Auto,32632,Diesel,2.1
 C Class,2016,16990,Semi-Auto,35394,Diesel,2.1
 C Class,2017,20990,Semi-Auto,19733,Petrol,2.0
 C Class,2016,17699,Semi-Auto,15511,Petrol,2.0
 C Class,2017,18495,Semi-Auto,41857,Diesel,2.1
 C Class,2019,28995,Semi-Auto,4099,Petrol,1.5
 C Class,2016,14495,Automatic,50995,Diesel,1.6
 C Class,2014,13950,Semi-Auto,45527,Diesel,2.1
 C Class,2014,12750,Semi-Auto,74000,Diesel,2.1
 C Class,2016,19495,Automatic,45907,Hybrid,2.1
 C Class,2016,18995,Semi-Auto,38305,Diesel,2.1
 C Class,2018,19950,Semi-Auto,33082,Diesel,2.1
 C Class,2017,19498,Semi-Auto,22424,Diesel,2.1
 C Class,2014,16360,Semi-Auto,46425,Diesel,2.1
 C Class,2017,16767,Automatic,24425,Diesel,2.1
 C Class,2014,10190,Semi-Auto,62448,Diesel,2.1
 C Class,2018,19298,Semi-Auto,39383,Hybrid,2.0
 C Class,2015,15998,Semi-Auto,32023,Diesel,2.1
 C Class,2016,15998,Semi-Auto,25202,Diesel,1.6
 C Class,2017,24698,Semi-Auto,28631,Diesel,2.1
 C Class,2016,14398,Semi-Auto,29002,Diesel,2.1
 C Class,2014,15998,Semi-Auto,66140,Diesel,2.1
 C Class,2018,19950,Semi-Auto,33082,Diesel,2.1
 C Class,2014,11149,Semi-Auto,39173,Diesel,2.1
 C Class,2018,17990,Semi-Auto,27000,Petrol,2.0
 C Class,2017,16490,Semi-Auto,17000,Diesel,2.1
